pickup_lat,pickup_lon,trips,avg_fare
18.0,610.0,525138,9.995560919225046
744.0,605.0,303407,11.104374618911235
599.0,346.0,288178,15.033275718479551
225.0,6.0,237705,42.02844551019127
210.0,470.0,224596,11.100995698943882
754.0,410.0,189459,8.998882502282814
686.0,500.0,181764,12.660294832860197
385.0,478.0,163053,17.27329518622779
411.0,545.0,161356,9.684024455241817
688.0,206.0,141397,11.172985636187473
575.0,547.0,125490,34.17408223762847
294.0,113.0,120334,10.78903385576811
419.0,615.0,113274,9.148908487384572
173.0,203.0,112852,12.313690231453586
64.0,231.0,101695,10.478941835881802
395.0,408.0,97982,9.071293400828727
161.0,649.0,93888,11.619750979890933
158.0,270.0,91043,15.386018804301274
199.0,510.0,88667,12.020218345043846
170.0,351.0,88450,9.653033352176372
167.0,754.0,87722,11.007920590045826
728.0,277.0,67369,12.844346806394631
433.0,757.0,64655,35.03578037274771
660.0,120.0,56717,13.365353774000743
413.0,636.0,52791,9.76820727017863
681.0,196.0,52064,9.526237131223107
30.0,405.0,48610,12.86153795515326
556.0,288.0,41667,14.309941680466553
454.0,453.0,38424,8.914326462627525
618.0,407.0,34694,10.321239983858879
604.0,668.0,33903,12.754685131109342
526.0,511.0,33609,10.937974649647414
695.0,366.0,32980,8.867342025469982
230.0,394.0,31668,33.44394909688015
529.0,619.0,26719,16.679515700437886
767.0,733.0,25529,8.85911042344001
474.0,204.0,25225,10.105111992071356
130.0,532.0,24672,9.529213278210117
207.0,239.0,23535,10.088825578925006
109.0,708.0,20410,14.098385595296413
438.0,199.0,18519,16.66893892758789
399.0,780.0,17844,13.689944519166112
37.0,370.0,16398,14.324059031589215
779.0,81.0,14774,10.076195343170433
272.0,371.0,14445,13.465764624437517
684.0,503.0,14151,14.453582785668862
527.0,24.0,13332,14.718422592259218
606.0,617.0,13183,11.89395205947053
724.0,47.0,13175,11.326806831119544
753.0,551.0,11983,10.190010848702324
