pickup_community_area,trips,avg_fare,avg_trip_miles
8.0,1616303,11.1,2.7
32.0,1147376,11.49,2.85
28.0,433706,10.82,2.57
76.0,363276,39.31,13.5
6.0,279871,12.77,3.28
7.0,213430,11.45,2.77
24.0,132084,11.4,2.77
33.0,112779,14.38,3.82
56.0,96332,34.51,10.51
3.0,68666,13.64,3.64
77.0,44421,14.39,3.83
22.0,40093,12.55,3.22
5.0,21705,14.03,3.63
4.0,18331,13.71,3.59
1.0,16982,14.34,3.76
