dropoff_community_area,trips,avg_fare,avg_trip_miles
8.0,1406734,11.10378654386686,2.738790211937727
32.0,975944,11.27086842072906,2.7684561614190812
28.0,469971,10.43317059988808,2.412750893140169
6.0,315817,14.391942232368756,3.9137562575795433
7.0,289466,12.565618967339862,3.2105363669653144
24.0,213354,12.302268155272463,3.1057360068243085
76.0,176629,41.902484586336335,13.88069796013131
33.0,151282,13.448914345394693,3.4652457661849634
3.0,88919,14.846017049224573,4.149997525838084
22.0,78349,15.025442188158111,4.127102579484091
56.0,60196,33.58985464150442,10.579827397169241
77.0,56294,16.93517302021529,4.909831243116477
5.0,44435,16.50528794868909,4.6400234049735625
4.0,36050,17.28830901525659,4.897722884882116
1.0,25984,18.452080895935957,5.359558189655166
