distance_bin,trips,avg_fare_per_mile,median_fare_per_mile
0-1,1443477,23.301639362884877,8.99466776696406
1-2,1520523,6.980145937936161,5.535574658457532
10-20,609842,2.549415930773972,2.553886685719817
2-5,1129712,3.9657413975635922,3.8540777674352724
20-50,63444,2.091682619998048,2.4235247158202875
5-10,397862,2.9770505835968413,2.9614989468350443
