distance_bin,trips,avg_fare,median_fare
0-1,1517404,8.200728454650184,5.75
10-20,609842,39.575431095267376,42.0
2-3,586291,10.296866283125613,10.0
20-50,63248,53.72830445231471,55.05
3-5,543422,13.397493550132307,13.25
5-10,397862,19.982873182158638,19.5
1-2,1520537,9.050278033352686,7.5
50-100,5516,33.25429840464104,19.0
