payment_type,trips,avg_fare,median_fare,avg_tip,avg_trip_total
Cash,2818053,12.244147533775966,8.460432982770195,0.003741735872249387,13.104562536616571
Credit Card,2394941,16.821706685049865,10.0,3.636222846408351,21.951988391362953
No Charge,20237,12.979285467213519,8.75,0.0,13.879342293818254
Unknown,5489,11.41410275095646,11.5,0.4143778466022955,12.091136819092734
Dispute,3228,14.679089219330855,9.0,0.001889714993804213,16.268825898389096
Prcard,1108,11.008628158844767,8.5,0.19319494584837546,11.443925992779782
Pcard,1066,12.03639774859287,9.5,0.45879924953095685,12.873245778611631
